index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
95,false,b646bb3e-65e2-4f85-8376-9408e94e4b59,"Nitrogen, organic bound",Elementary flows/Emission to water/ground water,kg,elementary,,,
96,false,061d04a0-af1d-4884-bdd3-997b6cd5550f,Boron,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
97,false,83cf77ca-867b-4eef-b0f0-78d71b3d91d5,Antimony ion,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
98,false,3937f5a5-b4a4-434d-9fc3-1d29064fc3f8,Cadmium II,Elementary flows/Emission to water/ground water,kg,elementary,,,
99,false,24cf82f8-c517-4fef-8f93-17519adb855e,Barium II,Elementary flows/Emission to air/low population density,kg,elementary,,,
100,false,b84e31d0-cf7b-4c3f-bc8a-3cc93bdb30d9,Fluoride,Elementary flows/Emission to water/ground water,kg,elementary,,,
101,false,242b4a08-f6ff-496d-ae0f-bf8f8bc77692,Boron,Elementary flows/Emission to water/ground water,kg,elementary,,,
102,false,ce9fd912-233a-4807-a33e-0323b1e4a7a2,Magnesium,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
103,false,c864aa15-0abc-41ad-9889-348106e485d8,Lead II,Elementary flows/Emission to water/ground water,kg,elementary,,,
104,false,5ec9c16a-959d-44cd-be7d-a935727d2151,Mercury II,Elementary flows/Emission to air/low population density,kg,elementary,,,
105,false,e336eee7-148a-4d1c-8027-780cbfafa12b,Copper ion,Elementary flows/Emission to air/low population density,kg,elementary,,,
106,false,33fd8342-58e7-45c9-ad92-0951c002c403,Iron ion,Elementary flows/Emission to water/ground water,kg,elementary,,,
107,false,1e904267-caa3-40e6-a3a0-fc104489770b,Cobalt II,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
108,false,bfc0bf1c-e5e2-4702-a502-08c892031837,Sulfate,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
109,false,8734eb08-50cf-4f5a-8d1a-db76d38efe3c,"TOC, Total Organic Carbon","Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
110,false,e60edb16-3c74-415b-9aff-a22a6f49fecb,Arsenic ion,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
111,false,ee9fdd7c-5e29-4bdb-852a-3258f06ec2ab,Sodium I,Elementary flows/Emission to water/ground water,kg,elementary,,,
112,false,725c7923-0ed8-43e5-b485-fad7e34bef08,"DOC, Dissolved Organic Carbon","Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
113,false,ef475b50-9cd0-4e7c-9c59-07868fe16e91,Chromium VI,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
114,false,479daf8f-657e-46a6-bdea-3cb2c61c44b1,Silicon,Elementary flows/Emission to air/low population density,kg,elementary,,,
115,false,73eed463-4986-4d81-8bae-60dae5be49d0,"DOC, Dissolved Organic Carbon",Elementary flows/Emission to water/ground water,kg,elementary,,,
116,false,2e0c9efa-d55c-49db-8be3-0376d5921ff4,Aluminium III,Elementary flows/Emission to water/ground water,kg,elementary,,,
117,false,481c0dd4-3ab2-47b5-94c4-b990e8a9dde5,Vanadium V,Elementary flows/Emission to air/low population density,kg,elementary,,,
118,false,01056d4b-f9b0-4dfc-b8d9-8407c8376efb,Aluminium III,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
119,false,130cedc6-f6ed-4f1b-bd1e-881177f79e74,Ammonium,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
120,false,0437e787-ef47-4a50-b11f-df7c743e860c,Magnesium,Elementary flows/Emission to air/low population density,kg,elementary,,,
121,false,5df5cb9f-812c-4ce8-ab1c-df6ab4d31900,Antimony ion,Elementary flows/Emission to water/ground water,kg,elementary,,,
122,false,7348af7c-e102-4a03-a0df-efce16469eed,Arsenic ion,Elementary flows/Emission to air/low population density,kg,elementary,,,
123,false,b10faa87-2c1d-4f6e-aa65-9f80b376939a,Cobalt II,Elementary flows/Emission to air/low population density,kg,elementary,,,
124,false,9597c1a2-ecda-4a89-97c5-efcdc679058d,Potassium I,Elementary flows/Emission to air/low population density,kg,elementary,,,
125,false,2718482b-8399-442e-b89a-52fbcc22d2e6,Lead II,Elementary flows/Emission to air/low population density,kg,elementary,,,
126,false,490b267b-f429-4d9a-ac79-224e37fb4d58,Phosphate,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
127,false,3d719c07-ec27-4971-b7cc-4bcf17d77dd3,Sodium,Elementary flows/Emission to air/low population density,kg,elementary,,,
128,false,f73177d8-5e57-4f0d-ba34-6889cfdfed40,Tin ion,Elementary flows/Emission to water/ground water,kg,elementary,,,
129,false,b5fae91e-cff0-4513-a997-cdb6922f1ab4,Iodide,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
130,false,e8fc62ba-678e-4706-97d2-b79d83e227d5,Nickel II,Elementary flows/Emission to air/low population density,kg,elementary,,,
131,false,77357947-ccc5-438e-9996-95e65e1e1bce,Nitrogen oxides,Elementary flows/Emission to air/low population density,kg,elementary,,,
132,false,db945649-d0d5-4818-ab81-dc8579469a05,Hydrogen sulfide,Elementary flows/Emission to water/ground water,kg,elementary,,,
133,false,835d0907-a668-4d92-b6b6-7b56fa343713,Manganese II,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
